EventId,LangIsoCode,RegionId,EventName,EventDesc,EventActive,EventPredefined,EventRGBColor,EventKeyWords,RecordCreation,RecordSync,RecordUpdate
SURGE,spa,base,Marejada,"Llegada de grandes olas al litoral, causados por huracanes, vendavales, tempestades; por coincidencia entre la dirección de los vientos y períodos de marea alta o por aumentos del nivel medio del mar durante el fenómeno El Niño. En algunos lugares se llama -creciente- o -puja- a la subida de las mareas hasta los niveles máximos quincenales y -cordonazo- a los máximos anuales. Excluye los reportes asociados con tsunami o maremoto. Palabras claves: creciente, puja, cordonazo, maretazo, mareta.",1,1,006B6B," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
FOG,spa,base,Neblina,"Masas de nubes que descienden hasta o se generan desde la superficie terrestre y que implican efectos sobre el transporte o cualquier otra actividad, por disminución de la visibilidad. Excluye falta de visibilidad por contaminación generada por polución, así sea generada por incendios de cualquier tipo. Palabras claves: Niebla.",1,1,E6E6FF," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
SNOWSTORM,spa,base,Nevada,"Caída y acumulación de nieve. Palabras claves: nieve.",1,1,CCFFFF," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
HEATWAVE,spa,base,"Ola de calor","Aumento de la temperatura en una región con efectos sobre poblaciones humanas, cultivos, bienes y servicios.",1,1,FF950E," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
PANIC,spa,base,"Pánico","Pánico o histeria colectiva en eventos masivos (estadios, salas de cine, etc.) que conduce a muertes, heridos y/o destrozos materiales. Cuando el pánico ha sido inducido por fenómenos naturales (p.e. sismos, deslizamientos, inundaciones, etc.) se reportará como efecto de ellos, siempre que hayan daños o efectos asociados. ",1,1,FFD320," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
PLAGUE,spa,base,Plaga,"Proliferación de organismos que afectan a comunidades, a la agricultura, a la ganadería o a bienes perecederos almacenados. Por ejemplo: ratas, langostas, abejas africanizadas, etc.",1,1,94BD5E," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
SEDIMENTATION,spa,base,"Sedimentación","Depositación de material sólido producido por movimientos de masa en laderas por erosión superficial, en cauces de ríos, por inundaciones, avenidas torrenciales, aludes, marejadas o tsunami.",1,1,996633," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
DROUGHT,spa,base,"Sequía","Temporada seca, sin lluvias, o con déficit de lluvias. En general se trata de períodos prolongados (meses, años, incluso decenios), que pueden ocurrir en áreas continentales restringidas o a escalas regionales. Excluye -Ola de calor- aunque una -Ola de calor- puede ocurrir durante un periodo de -Sequía-.",1,1,FFD320," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
EARTHQUAKE,spa,base,Sismo,"Se denomina sismo o terremoto a las sacudidas bruscas del terreno causadas por el movimiento de las placas tectónicas. Palabras claves: terremoto, movimiento telúrico, temblor, terremoto, tremor, seismo.",1,1,C5000B," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
STORM,spa,base,Tempestad,"Lluvia acompañada de vientos fuertes y/o de descargas eléctricas (rayos, relámpagos). En general y también en razón de connotaciones regionales, puede no ser posible diferenciar entre -tempestad- y -vendaval-. Palabras claves: tormenta.",1,1,280099," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
ELECTRICSTORM,spa,base,"Tormenta eléctrica","Concentración de descargas estáticas atmosféricas (rayos), con efectos sobre humanos, animales y bienes domésticos, infraestructura (por ejemplo sobre redes eléctricas, conduciendo a apagones), o sobre la industria. Se diferencia de -Tempestad- en que no está acompañada de lluvias y vientos fuertes.",1,1,4B1F0B," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
TORNADO,spa,base,Tornado,"Columna de vientos fuertes en remolino en forma de embudo que llega a la tierra desde nubes cúmulonimbus. Puede incluir lluvia, granizo y rayos. ",1,1,CCCCFF," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
TSUNAMI,spa,base,Tsunami,"Aplicado a olas generadas por movimiento en el fondo del mar, generado por sismos, erupciones volcánicas o deslizamientos. Los términos marejada, maretazo, cordonazo o mareta, serán reportados como -Marejada-, si no corresponden a -Tsunami- en sentido estricto. Palabras claves: maremoto.",1,1,9966CC," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
STRONGWIND,spa,base,Vendaval,"Perturbación atmosférica que genera vientos fuertes y destructivos, generalmente sin lluvia. Excluye -Tornado- y Ciclón. Palabras claves: temporal, vientos huracanados, torbellinos, borrasca, viento fuerte, ventisca, tromba, ráfaga, racha.",1,1,9999FF," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
OTHER,spa,base,Otro,"Cuando el desastre no está relacionado con ninguno de los tipos de eventos anteriormente presentados. Antes de usar este tipo de evento agote las opciones de seleccionar alguno de los eventos de la lista, si el evento es recurrente en su inventario y no hay nada en la lista que le corresponda sugerimos crear un nuevo evento.",1,1,000000," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
INTOXICACION,spa,,"Intoxicación","Envenamiento humano",1,0,"","","2009-11-11 18:32:35","2009-11-11 18:32:35","2009-11-11 18:32:35"
fb1184be-1912-46c3-b4de-22011701e26c,spa,COL-1250694506-colombia_inventario_historico_de_desastres,"Erosión","Erosión (EROSION)",1,0,"","",2009-11-27T14:28:04+00:00,2009-11-27T14:28:04+00:00,2010-01-21T12:38:57+00:00
8d1f7788-2766-47f2-8472-deea68515086,spa,COL-1250694506-colombia_inventario_historico_de_desastres,Represamiento,Represamiento,0,0,"","",2010-01-21T12:40:17+00:00,2010-01-21T12:40:17+00:00,2012-08-13T21:04:58+00:00
f8280625-4320-4033-81cb-8feb19bd2f2e,spa,COL-1250694506-colombia_inventario_historico_de_desastres,Naufragio,Naufragio,1,0,"","",2010-01-21T12:55:27+00:00,2010-01-21T12:55:27+00:00,2010-01-21T12:55:27+00:00
